,Year,Reference,Abstract,cluster_4,cluster_5
178,2016,"Marshall, D., Metters, R., & Pagell, M. (2016). Changing a leopard's spots: A new research direction for organizational culture in the operations management field. Production and Operations Management, 25(9), 1506-1512.","Operations Management (OM) research on organizational culture has to change to be able to inform practice. Currently, organizational culture research in OM is largely confined to narrow topical and methodological niches and culture is most frequently used as an explanatory variable in quantitative, survey?based research. We argue that the relegation of culture to this niche is due to self?imposed methodological blinders that hobble the OM field. We then present four research imperatives to reinvigorate organizational culture research within our field. We urge OM scholars to view culture as a dynamic concept that can be influenced, to adopt alternative methods, to use non?traditional data sources, and to rethink assumptions about dependent variables. We also identify gaps in the current knowledge and new research questions for the OM domain. We conclude that the field of OM could greatly expand its understanding of organizational culture and in so doing greatly improve business practice, but that to do so will require a change in the culture of the operations management research community.",2,2
179,2016,"Lin, M., & Viswanathan, S. (2016). Home bias in online investments: An empirical study of an online crowdfunding market. Management Science, 62(5), 1393-1414.","An extensive literature in economics and finance has documented home bias, the tendency that transactions are more likely to occur between parties in the same geographical area rather than outside. Using data from a large online crowdfunding marketplace and employing a quasi-experimental design, we find evidence that home bias still exists in this virtual marketplace for financial products. Furthermore, through a series of empirical tests, we show that rationality-based explanations cannot fully explain such behavior and that behavioral reasons at least partially drive this remarkable phenomenon. As crowdfunding becomes an alternative and increasingly appealing channel for financing, a better understanding of home bias in this new context provides important managerial, practical, and policy implications.",3,3
180,2016,"Iyer, R., Khwaja, A. I., Luttmer, E. F., & Shue, K. (2016). Screening peers softly: Inferring the quality of small borrowers. Management Science, 62(6), 1554-1577.","This paper examines the performance of new online lending markets that rely on nonexpert individuals to screen their peers’ creditworthiness. We find that these peer lenders predict an individual’s likelihood of defaulting on a loan with 45% greater accuracy than the borrower’s exact credit score (unobserved by the lenders, who only see a credit category). Moreover, peer lenders achieve 87% of the predictive power of an econometrician who observes all standard financial information about borrowers. Screening through soft or nonstandard information is relatively more important when evaluating lower-quality borrowers. Our results highlight how aggregating over the views of peers and leveraging nonstandard information can enhance lending efficiency.",3,3
181,2016,"Eloranta, V., Orkoneva, L., Hakanen, E., & Turunen, T. (2016). Using platforms to pursue strategic opportunities in service-driven manufacturing. Service Science, 8(3), 344-357.","Strategy research posits that in dynamic environments, firms must base their strategies not on leveraging the past, but on fostering constant change. This research explores how platforms can be used as semistructures to pursue strategic opportunities in manufacturers’ service networks. A platform strategy combining product and organization approaches is identified at the interfirm level. The results show that platforms are perceived to extend the physical product’s capacity to produce new usage scenarios, facilitate interfirm information flows and enable collective benefits, and create awareness of new value potentials. The study calls for more research regarding a systemic approach to solution business.",3,3
182,2016,"Retana, G. F., Forman, C., & Wu, D. J. (2016). Proactive customer education, customer retention, and demand for technology support: Evidence from a field experiment. Manufacturing & Service Operations Management, 18(1), 34-50.","Do service provider efforts to educate customers influence customer outcomes? We analyze the outcome of a field experiment executed by a major public cloud infrastructure services provider in 2011. Out of 2,673 customers who adopted the service during the experiment, 366 received a service intervention: an engagement through which the provider offered initial guidance on how to use basic features of the service. Before execution, it was unclear if this proactive customer education would have positive or negative effects on customer retention and demand for technology support. We show the treatment reduces by half the number of customers who churn from the service during the first week. Further, treated customers ask 19.55% fewer questions during the first week of their tenure than the controls. Although the treatment’s effects decay within one week, we show that such proactive customer education can have significant economic benefits for the provider. In particular, we find that treated customers increase their accumulated usage of the service by 46.57% in the eight months after sign-up. Finally, we provide evidence that the effects of the treatment are strongest among customers who have less experience with the provider.",3,3
183,2017,"Annarelli, A., Battistella, C., & Nonino, F. (2017). Open innovation practices for product service system as a business model innovation. Proceedings of ISPIM Conferences, , 1-14. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=124004967&site=ehost-live","The need for modernizing Business Models (BM), while carrying on internal reconfiguration of companies and embracing environmental sustainability purposes, stimulated new interest on Product Service System (PSS) potential. Despite a considerable volume of production on the topic, there is still growing attention on PSS as a Business Model Innovation and the chances offered to firms. This paper's objective is to contribute to this stream of literature by conducting a first exploratory study on involvement of Open Innovation (OI) practices in the adoption of PSS-related BMs. A stratified sample of 9 firms allowed comparisons and reflections on the interrelation between characteristics of PSSs (with related tactics) and OI practices. What emerged from results is how PSS adoption and implementation can benefit from the employment of OI practises, according to different organizational forms and offerings. Future research directions should aim at consolidating results in a theory building effort. ",2,2
184,2017,"Ayala, N., Paslauski, C. A., Frank, A. G., & Ghezzi, A. (2017). Knowledge sharing dynamics in service suppliers' involvement for servitization of manufacturing companies. International Journal of Production Economics, 193, 538-553. doi:10.1016/j.ijpe.2017.08.019 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=126898184&site=ehost-live","Manufacturing companies that adopt the servitization strategy usually show lack of knowledge regarding the service offering associated to their manufactured products. Acquiring external knowledge from service suppliers can be a way to tackle this problem. The objective of this study is to understand how manufacturing companies aiming at a servitization-driven business model innovation (BMI) integrate such knowledge from service suppliers. We focus on different types of collaboration that can occur and on the knowledge sharing (KS) dynamics of this collaboration. We employ a multiple-case study approach to analyze nine BMI processes from companies that transformed their traditional business model (BM) to a servitized BM. As a result, we obtain a theoretical framework that presents six possible KS dynamics for the servitization design by originally combining two main approaches for servitization-driven BMI (i.e. product-oriented and service-oriented product-service systems) and three main configurations of relationships with service suppliers based on traditional new product development classifications of buyer-supplier integration (i.e. white, grey and black box configurations). Implications of combining a BMI and a buyer-supplier KS perspectives to investigate the process of servitization for manufacturing companies are then discussed. ",2,2
185,2017,"Bärenfänger, R. (2017). Managing information services in the digital economy. University of St.Gallen, Business Dissertations, , 1-403. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=125256368&site=ehost-live","Data is critical for any enterprise in the digital and global economy, but not all enterprises already treat their data sufficiently professional. Data used in diverse information services can spur new business insights, benefit corporate-wide decision making, enable automation, contribute to new products and services, and ensure customer satisfaction. Unlocking this value requires effective management of information services. However, today's information management in commercial and industrial enterprises is unable to cope with the growing requirements of internal and external customers, business partners, and regulators. Information management rarely possesses a clear vision of its future role for business success. It also lacks concrete methodologies for identifying and implementing the necessary organizational and technical changes in the face of various new data sources and technologies. This dissertation proposes information service orientation as guiding vision for future information management. This vision considers information services as information management's main value-adding output. Following a Design Science Research paradigm, this dissertation develops two artifacts to support this information service management in the digital economy. The first artifact is a capability reference model, a target framework for information service management. It describes the capabilities that future information service management should possess so as to develop and provide successful information services to its stakeholders. The second artifact is a reference method for capability-based information service design. It supports new information service development and identifies their prerequisite capabilities. Results are based on consortium research, which used literature research, seven case studies, two action design research projects, and eight focus groups as main research methods. Results address academics and practitioners interested in information services and information service management in the digital economy. On the one hand, they contribute to capability- and information management research. On the other, they provide real-life project examples and practical methods to data and information managers, project managers of digital and Big Data initiatives, consultants, and software vendors working in this domain. ",2,2
186,2017,"Biehl, S. (2017). Design guidelines for smart services: A strategic-logic perspective on seeking competitive advantage with digitized servitization strategies. University of St.Gallen, Business Dissertations, , 1-310. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=125256369&site=ehost-live","The dispersing industrial digitalization is rapidly reshaping industries and competition. Smart connected products process comprehensive data in real-time and enable smart services that go far beyond traditional after-sales offerings. Smart services have significantly gained relevance for servitized manufacturers, raised high expectations on their potentials in practice, and are deemed to be key for future competitiveness in increasingly challenging market environments. At the same time, many manufacturers--despite considerable investment in the new technology--fail at taking economic advantage of the potentials, frequently because of vaguely defined competitive strategies and business models. Currently, theory is not able to give appropriate advice. On the one hand, the argumentation for competitive advantage in servitization is stuck in traditional lines of thought that hamper its explanatory power with respect to the phenomena of industrial digitalization. On the other hand, the debate on the role and contribution of digital technologies is still a novel and ill-defined research field and in its infancy when it comes to rigorous strategic reasoning. This thesis sets out to address the existing shortcomings in theory and provide guidance for managers concerned with the formulation of smart-service strategies. The goal is to answer the question of how capital goods manufacturers can increase their competitiveness with smart services, which are described as the result of the concurring trends of servitization and digitalization. Based on a thorough review of literature in the three knowledge bases of servitization, digitalization, and strategic management, the thesis develops a theoretically founded conceptual model of smart-service strategies. In the empirical part of the thesis, the design elements of the conceptual model are validated and operationalized in a cross-sectional interview study before the relationships among the elements of the model are examined in a multiple-case study approach. Based on the juxtaposition of three distinct smart-service approaches in the cross-case study, the thesis refines its conceptual artifacts and develops a management model for smart-service strategies that facilitates the formulation of practical advice for capital goods manufacturers. Based on the empirically validated design model, feasible design guidelines are crafted that support practitioners in defining their firms-- smart-service strategy. From a theoretical point of view, the thesis advances the understanding of the role and contribution of digital technology in servitization and helps to close the gap between the two research strands. ",2,2
187,2017,"BOURNE, A. (2017). SERVITISATION: Preparing the manufacturing industry for what’s next. DEMM: Engineering & Manufacturing, , 20-21. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=123499220&site=ehost-live","The article discusses servitisation in manufacturing industry. Topics discussed include the rends for servitisation in the industry which is driven by the emergence of new technologies, the requirement for manufacturers who want to servitse their business including use of predictive analysis, remote communication and consumption monitoring, and the benefits acquired by manufacturers from servitisation. ",2,2
188,2017,"Chen, C. (2017). Service providers’ sustainable service innovation: Service-dominant logic. Service Industries Journal, 37(9-10), 628-656. doi:10.1080/02642069.2017.1340456 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=124333268&site=ehost-live","This study examined the service innovation in different service providers with multiple case-study approach. From the perspective of service-dominant logic, four service innovation development models can be distinguished in Technology Development Program companies in Taiwan, including service system integrator and niche market, innovative service solution provider and niche market, innovative service solution provider and mass market, and service system integrator and mass market. Service providers develop ICT platforms, customer relationship management systems, community commerce services, and multi-channel services that are appropriate for a specific industry. On the one hand, active improvement of ICT service system integration extends company capabilities toward external cooperative partners through the provision of integrated product services and comprehensive solutions. On the other hand, innovative service solutions optimize consumer experience and customer relationship management and improve business effectiveness and reduce operations costs due to an important role assigned to services and experience in product sales. ",3,3
189,2017,"Desbarats, G. (2017). Silo-busting to create great experiences for the internet of things. Design Management Review, 28(1), 28-36. doi:10.1111/drev.12064 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=121467977&site=ehost-live","IOT design requires an overall customer-experience, service-design approach that covers the end-to-end customer journey. That includes real-time, coordinated design across the object, an app, a web account, and the touch-points that help with set-up. Designing in the age of the Internet of Things is not another kind of design, but it certainly challenges some classic design roles and methods. ",1,1
190,2017,"Doherty, E., Carcary, M., Conway, G., & Crowley, C. (2017). Customer experience management (CXM) - development of a conceptual model for the digital organization. Proceedings of the European Conference on Innovation & Entrepreneurship, , 103-112. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=126256570&site=ehost-live","In the age of the digital organization, and at a time when customers are connected and empowered like never before, there is growing consensus about the importance of a focus on customer experience (CX) in achieving competitive advantage (Hartlen, 2017, Mc Kinsey Quarterly, 2016, Müller et al, 2016, Banfi et al, 2014). This focus on the customer requires that the organization continuously considers ""What do my customers want?"" (Mc Kinsey Quarterly, 2016). Leveraging digital technologies to address and deliver customer needs can have a positive impact on customer satisfaction ratings whilst at the same time, reducing organizational costs (Banfi et al, 2014). However, to be successful, this transformation means rethinking the entire way that organizations work with their customers (Banfi et al, 2014). Organizations require guidance on where and how to improve the customer experience journey in a digital context. Consequently, this research seeks to outline the key facets of a Customer Experience Management (CX) capability in the form of a conceptual model to guide them through this process. The approach adopted in this research was a multi-phase approach. The first phase is grounded in the relevant literature through undertaking a systematic literature review (SLR) and developing a concept matrix on key customer experience themes and how they have evolved with the emergence of digitization. The second phase is concerned with the development of a conceptual model for managing customer experience in the digital context. This customer experience conceptual model may form a key component of the IT Capability Maturity Framework (IT-CMF™) as a critical capability (CC). This research is of particular importance to organizations and practitioners interested in understanding the value of, and guidelines for, developing a CX capability as part of their digital transformation. It is also relevant to academics who are interested in the area of organizational digital transformation. ",3,3
191,2017,"Grenha Teixeira, J., Patrício, L., Huang, K., Fisk, R. P., Nóbrega, L., & Constantine, L. (2017). The MINDS method. Journal of Service Research, 20(3), 240-258. doi:10.1177/1094670516680033 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=124120566&site=ehost-live","As technology innovation rapidly changes service experiences, service designers need to leverage technology and orchestrate complex service systems to create innovative services while enabling seamless customer experiences. Service design builds upon contributions from multiple fields, including management, information technology, and interaction design. Still, more integration to leverage the role of technology for service innovation is needed. This article integrates these two service design perspectives, management and interaction design, into an interdisciplinary method—the Management and INteraction Design for Service (MINDS). Using a design science research approach, MINDS synthesizes management perspective models, which focus on creating new value propositions and orchestrating multiple service interfaces, with interaction design perspective models, which focus on technology usage and its surrounding context. This article presents applications of the MINDS method in two different service industries (media and health care) to demonstrate how MINDS enables creating innovative technology-enabled services and advances interdisciplinary service research. ",1,1
192,2017,"Haber, N., & Fargnoli, M. (2017). Design for product-service systems: A procedure to enhance functional integration of product-service offerings. International Journal of Product Development, 22(2), 135-164. doi:10.1504/IJPD.2017.10007553 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=125124310&site=ehost-live","Design and development of an integrated Product-Service System (PSS) aims at replacing stand-alone products or services with a functional offering. However, issues regarding this transition are dissimilar and differentiated. This study discusses the importance of PSSs analysing the theoretical studies accomplished in the extent of their design and development processes. Based on this, a novel procedure, built on the Design Science approach, is proposed, where the distinct models from the literature are merged towards a unified structure serving as a robust and generic methodology for designing PSSs. Each stage of this process is then developed to present a comprehensive design procedure, called the Functional Engineered Product-Service System (FEPSS), which is based on morphological thinking to conceptualise PSS offerings. A case study illustrates the use of the proposed framework underlining its effectiveness in merging stakeholders' needs, development activities, as well as products and services elements enclosed in the solution. ",1,1
193,2017,"Huang, M., & Rust, R. (2017). Technology-driven service strategy. Journal of the Academy of Marketing Science, 45(6), 906-924. doi:10.1007/s11747-017-0545-6 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=125716470&site=ehost-live","Advancements in technology are radically transforming service, and increasingly providing the underlying basis for service strategy. In this paper, we develop a typology and positioning map for service strategy, in the context of rapid technological change, and outline the process for firms to position or reposition their service strategies. Which strategy to choose is based on the degree to which customer demand is heterogeneous, and the degree to which potential customer lifetime value varies across customers. This results in four strategies: the McService strategy that is standardized and transactional, the Relational Service strategy that is standardized and relational, the Customized Transaction strategy that is personalized and transactional, and the Adaptive Personalization strategy that is personalized and relational. We provide firms a roadmap for identifying a 'sweet spot' strategy in relation to a segment's realized or potential customer lifetime value, combined with the firm's technological capabilities. Because technological capabilities inevitably advance, firms will tend to move from standardized to personalized and from transactional to relational over time, implying that firms should be alert to technological opportunities to personalize their relationships with customers. Our strategic framework also produces a useful bridge from marketing practice to the conceptual evolution of the service literature, showing how the historical trends toward continuing customer relationships and co-productive personalization should drive strategic thinking in service. ",2,2
194,2017,"Jardim-Goncalves, R., Romero, D., & Grilo, A. (2017). Factories of the future: Challenges and leading innovations in intelligent manufacturing. International Journal of Computer Integrated Manufacturing, 30(1), 4-14. doi:10.1080/0951192X.2016.1258120 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=119595283&site=ehost-live","This paper reviews some of the most recently reported research into challenges and leading innovations in intelligent manufacturing for the Factories of the Future (FoF). Such research can be categorised as addressing five broad topic areas: manufacturing systems frameworks, theories and models; the pervasiveness of Cyber-Physical Systems (CPSs); the critical role of semantic technologies and interoperability; the Virtual Organisation (VO) of manufacturing systems and the servitisation of manufacturing systems. The paper analyses conceptual, theoretical, empirical and technological contributions from several leading authors in domain area. This paper identifies a wide range of research topics from the elaboration of manufacturing systems frameworks to models, from sensors to CPSs, to the application of semantic technologies and interoperability architectures of the data and information generated by manufacturing agents, how VOs are shaping manufacturing environments and the increasing challenge of deploying manufacturing systems to support servitisation. The paper concludes elaborating final considerations on the challenges and leading innovations in intelligent manufacturing for the FoF research area. ",2,2
195,2017,"Langham, J., Paulsen, N., & Hartel, C. (2017). Evaluating design effectiveness for public sector services: An introduction to XE. Proceedings of the European Conference on Innovation & Entrepreneurship, , 706-713. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=126256542&site=ehost-live","Our research draws on diverse domains: psychology, service management, human factors, ergonomics, universal design and new public governance to develop a scale for citizen experience measurement. We use the byzantine environment of taxation administration to test and further improve our evaluation model. Our model known as Experience Effectiveness (XE), challenges traditional thinking of service quality as a function of client satisfaction or loyalty. XE uses a multi-participant perspective and is defined in humanist terms of usability, service co-production and the successful completion of the service objective. This paper demonstrates that the strategic use of design in public sector administration can be used to improve citizens' lives. Through evaluating the experiences citizens have interacting with the public sector, governments can prioritise issues, reduce bureaucratic complexity and design better services. Improved public administration will ensure more effective use of revenue and higher levels of compliance with the law through seamless, transparent engagement and higher levels of citizen satisfaction. Initial results from the first of two studies are presented to show the practical application of the XE tool. In the taxation environment, we use the process of starting a small business in Australia as a test case. Both the XE measurement model and the associated citizen-client design are evaluated. The results have significance for all areas that require an objective measure of the impact of design on clients. Experience Effectiveness will also provide objective measures for project governance and performance evaluation. The research demonstrates how successful design outcomes can be a pragmatic alternative to enforcement as the principal approach to deterrence as compliance management. ",2,2
196,2017,"Linder, M., & Williander, M. (2017). Circular business model innovation: Inherent uncertainties. Business Strategy & the Environment (John Wiley & Sons, Inc), 26(2), 182-196. doi:10.1002/bse.1906 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=121118143&site=ehost-live","Circular business models based on remanufacturing and reuse promise significant cost savings as well as radical reductions in environmental impact. Variants of such business models have been suggested for decades, and there are notable success stories such as the Xerox product-service offering based on photocopiers that are remanufactured. Still, we are not seeing widespread adoption in industry. This paper examines causes for reluctance. Drawing on a hypothesis-testing framework of business model innovation, we show that circular business models imply significant challenges to proactive uncertainty reduction for the entrepreneur. Moreover, we show that many product-service system variants that facilitate return flow control in circular business models further aggravate the potential negative effects of failed uncertainty reduction because of increased capital commitments. Through a longitudinal action research study we also provide a counterexample to many of the challenges identified in previous studies, which could be overcome in the studied case. ",2,2
197,2017,"Martinez, V., Neely, A., Velu, C., Leinster-Evans, S., & Bisessar, D. (2017). Exploring the journey to services. International Journal of Production Economics, 192, 66-80. doi:10.1016/j.ijpe.2016.12.030 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=125022665&site=ehost-live","Firms are increasingly providing services to complement their product offerings. The vast majority of studies on the service journey, also known as servitization or service transition, examine the challenges and enablers of the process of change through cases studies. Investigations that provide an in-depth longitudinal analysis of the steps involved in the service journey are much rarer. Such a detailed understanding is required in order to appreciate fully how firms can leverage the enablers while overcoming the challenges of servitization. This study investigates what does a service journey look like? It analyzes in some detail the actual service journeys undertaken by three firms in the well-being, engineering and learning sectors. The paper offers four contributions. First, in the change literature, there are two dominant theories: The punctuated equilibrium model and the continuous change model. This study demonstrates that servitization follows a continuous change rather than a punctuated equilibrium. It shows that such continuous change is neither logical nor structured but much more emergent and intuitive in nature. Second, the study provides empirical evidence to support a contingency view of the dominance and sequencing of the different process models of change across the change journey. Third, this research shows the pace of service development and when the coexistence of basic, intermediate and complex services occurs. Finally, it contributes to the literature in the service field by presenting three actual service journeys and the associated seven stages of the service strategy model that organizations should consider when managing their service journeys. ",2,2
198,2017,"Martín-Peña, M. L., Pinillos, M., & Reyes, L. (2017). The intellectual basis of servitization: A bibliometric analysis. Journal of Engineering & Technology Management, 43, 83-97. doi:10.1016/j.jengtecman.2017.01.005 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=121938127&site=ehost-live","This research pretends to identify the studies and disciplines that have had the greatest impact on servitization among manufacturing firms, with a view to illustrating the intellectual structure of this discipline. The methodology is based on bibliometric techniques of citations and co-citations that appear in documents, in journals included in the Web of Science. Network theory was used to identify the documents that constitute the core of the co-cited documents. A multivariate analysis has allowed establishing the underlying intellectual structure of servitization, comprising three factors: (a) service strategy in industrial firms, (b) service innovation, and (c) service dominant logic. ",2,2
199,2017,"Rau, C., Zbiek, A., & Jonas, J. M. (2017). Creating competitive advantage from services. Research Technology Management, 60(3), 48-56. doi:10.1080/08956308.2017.1301003 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=122763645&site=ehost-live","In commodities markets, companies struggle to develop and communicate solutions for customer needs that provide competitive advantage. Service design thinking can provide the tools to help redesign value propositions to incorporate solutions that meet customer needs and sustain competitive advantage. However, in order to apply service design thinking effectively in organizational settings characterized by product thinking, some specific issues must be addressed. Based on a case study of a local gas supplier, redgas, we offer three key lessons from applying service design thinking to create new value propositions in the commodity industry: 1) see the bigger picture, 2) select suitable prototyping methods to support a collaborative ideation process, and 3) communicate narratives to and solicit feedback from customers. ",2,2
200,2017,"Sharmelly, R. (2017). Crafting a winning innovation strategy. Strategic Direction, 33(3), 8-11. doi:10.1108/SD-11-2016-0151 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=121472835&site=ehost-live","This paper aims to identify the innovation strategies of the most successful organizations and demonstrate how business organizations can outperform their rivals. This paper is based on a review of “How successful organizations drive innovation” by Ikeda and Marshall (2016). Top performing organizations create organizational structures and functions to sustain innovation, create a culture of innovation and design processes to create innovation. To sustain innovation, organizations create a balance between innovation objectives and business objectives, adopt open innovation and form dedicated innovation teams. Organizations create a culture of innovation through a clear focus on innovation, agility and promoting an innovation culture. Finally, successful organizations design processes to create innovation, adopting strategies of generating new ideas from various sources, ensuring stable and secure innovation funding and deploying explicit innovation measurement. The paper provides strategic insights and clear steps for all organizations to succeed in their innovation ventures. Based on the review, this paper illustrates how existing and prospective companies gain a competitive edge in innovation through organizational structures, culture and processes.   ",2,2
201,2017,"Smith, J., Anderson, S., & Fox, G. (2017). A quality system’s impact on the service experience. International Journal of Operations & Production Management, 37(12), 1817-1839. doi:10.1108/IJOPM-12-2015-0737 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=126349234&site=ehost-live","The of this paper is to examine the interplay between technical and social systems within an organization that potentially affect the service experience, as perceived by end customers. The paper explores the potential impact of an integrated service quality system on the service experience. A conceptual model is presented, accompanied by a detailed development of the hypotheses. Two samples (Study 1: n=474, Study 2: n=225) of consumers are used to empirically test the proposed model. The analysis reveals the impact a technical system has on employees’ inherent abilities (i.e. the social system), which, in turn, affect the overall assessment by customers. Additionally, the situation in which an employee works (i.e. operating environmental conditions) results in differences in the model. This paper’s main implication is this paper employs established theory to develop a model that is empirically tested to show that implementing and maintaining a quality-oriented service system can positively influence the overall customer experience. The limitations are based primarily on the methodology in which individual employees assessed all aspects of both the social and technical systems. Managers should be diligent in their design and implementation of the quality components as these affect the work setting in which employees operate.Prior research has neither explored an integrated service quality system’s impact on the service experience nor employed an established theoretical framework. This work accomplishes both with the results providing contributions to both theory and practice.   ",2,2
202,2017,"Visnjic, I., Neely, A., & Jovanovic, M. (2017). A quest for fit: Interplay of service market strategy and business model innovation. Academy of Management Annual Meeting Proceedings, 2017(1), 1-1. doi:10.5465/AMBPP.2017.10358Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=124539830&site=ehost-live","Product providers have increasingly embraced services alongside their product offerings in order to improve performance. Yet, it remains unclear how this change in the market strategy and the underpinning innovation in the business model - the activity system design -jointly create value. Relying on 12 case studies of product providers that shifted to providing highly sophisticated service offerings - outcome-based contracts - we derive theoretical propositions regarding the interplay of service market strategy and business model innovation on value creation. The product providers we studied report two interdependent changes that they pursue to secure the required fit; they evolve the market strategy from pure products to outcomes so as to achieve a better fit with the client's needs and to grow the service business. In parallel, they 'open up' their business models to maintain the internal activity system's fit with their core competencies while relying on ecosystem partners for activities outside the provider's competence base. This allows them to grow their service businesses effectively and efficiently. At the same time, However, the shift to an outcome market strategy demands enhanced accountability to customers and increases the threat of penalty in the case of failure, while opening up the business model produces loss of control over the activity system and increases the threat of failure from partner dependency. Thus, we find that the service provider's success hinges on the ability to balance the trade-off between increased value creation and increased uncertainty associated with service strategy/open business model interplay. ",2,2
203,2017,"Wang, Y., Lee, C., & Trappey, A. J. C. (2017). Service design blueprint approach incorporating TRIZ and service QFD for a meal ordering system: A case study. Computers & Industrial Engineering, 107, 388-400. doi:10.1016/j.cie.2017.01.013 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=122586046&site=ehost-live","This study applied the cloud-based production service concept to form a scalable and interoperable ordering model for self-service restaurants. We developed and demonstrated a structural and empirical service design using an integration of TRIZ (Theory of Inventive Problem Solving), service QFD (Quality Function Deployment), and service blueprint approaches. Problem-formulator was carried out to generate customer requirements in the problem definition phase. The combination of service QFD and TRIZ contradiction analysis were applied to derive service solutions. In the solution evaluation stage, cloud-based self-service ordering system was proposed and a blueprint of the new meal service is then presented. The proposed new service can enhance the flexibility of meal-production by immediately responding to ordering requests and enable a tight partnership between case company and staff canteen operators with minimal management effort. The contribution of this structural and empirical service design methodology can improve performance and competitiveness of service innovation. In general, the proposed cloud intelligent solutions, with an interactive menu and a cloud-based interoperable meal order system can be applied to other canteen meal services and even other businesses providing meal services. ",2,2
204,2017,"Wieland, H., Hartmann, N., & Vargo, S. (2017). Business models as service strategy. Journal of the Academy of Marketing Science, 45(6), 925-943. doi:10.1007/s11747-017-0531-z Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=125716474&site=ehost-live","It is widely recognized that business models can serve as important strategic tools in innovation and market formation processes. Consequently, business models should have a prominent position in the marketing literature. However, marketing scholars have, so far, paid little attention to the business model concept, perhaps because it lacks an established definition and clear theoretical foundation. This article offers a definition for the business model concept that, using a fractal approach, connects business models to technological and market innovation. Furthermore, the article questions several cornerstone strategic concepts by reconceptualizing business model development from a firm-centric activity that promotes owning key resources and altering sets of decision variables to one that highlights the facilitation of broad institutional change processes. As such, it takes the potentially controversial position of advocating a service-strategy-based understanding of business models for all of marketing strategy. ",3,3
205,2017,"Keiningham, T., Ball, J., Benoit (née Moeller), S., Bruce, H. L., Buoye, A., Dzenkovska, J., . . . Zaki, M. (2017). The interplay of customer experience and commitment. Journal of Services Marketing, 31(2), 148-160. doi:10.1108/JSM-09-2016-0337 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=122625374&site=ehost-live","This research aims to better understand customer experience, as it relates to customer commitment and provides a framework for future research into the intersection of these emerging streams of research. This research contributes to theoretical and practical perspectives on customer experience and its measurement by integrating extant literature with customer commitment and customer satisfaction literature. The breadth of the domains that encompass customer experience – cognitive, emotional, physical, sensorial and social – makes simplistic metrics impossible for gauging the entirety of customers’ experiences. These  provide strong support of the need for new research into customer experience and customer commitment. Given the complexity of customer experience, managers are unlikely to track and manage all relevant elements of the concept. This research provides a framework identifying empirically the most salient attributes of customer experience with particular emphasis on those elements that enhance commitment. This offers insight into service design to correspond with specific commitment and experience dimensions. This research is the first to examine the customer experience as it relates to customer commitment – a key factor in customer loyalty, positive word of mouth and other desired outcomes for managers and marketers. This paper provides a framework for future research into these emerging topics. ",2,2
